size_bytes,bandwidth_arg,run,seconds,bits_per_sec,bytes,packets,lost_packets,lost_percent,jitter_ms,pps,bytes_per_sec,cpu_percent_host_total,cpu_percent_remote_total
1024,80M,5,30.014652,79964892.83487193,299955200,292925,433,0.14781940769821628,0.3929363999900094,9759.400175620893,9993625.779835794,5.410416553464105,9.165508595271364
1024,80M,6,30.015957,79965065.4742468,299986944,292956,825,0.2816122557653709,0.42099769621715327,9760.00865139832,9994248.85903188,6.137401330367489,9.10847942464794
1024,80M,7,30.010365,79982134.33636053,299976704,292946,1025,0.34989383708942945,0.33646046637730787,9761.49407046532,9995769.928156488,6.08333449039887,10.832904759940366
1024,80M,8,30.011251,79967637.3314157,299913216,292884,369,0.12598844593764083,0.509787507593487,9759.139997196384,9993359.357129097,6.40056543434247,13.328310781553817
1024,80M,9,30.024924,79992932.2812569,300087296,293054,632,0.21565991250759245,0.17873271922172757,9760.357761438465,9994606.347712988,6.392722692208805,12.486280994344936
1280,100M,1,30.018954,99960068.5612754,375018240,292983,503,0.17168231603881454,0.5845454991686294,9759.933673904827,12492715.102598177,12.471865530601365,16.186392084517816
1280,100M,10,30.031009,99938872.76171647,375086080,293036,645,0.22010947460380295,0.4987062308800632,9757.780699276538,12489959.295073967,10.501088527469312,16.07668967240515
1280,100M,2,30.037045,99912704.5213495,375018240,292983,469,0.1600775471614394,0.6767377123786243,9754.055367297282,12485190.870140523,11.791745013656444,17.268643868128287
1280,100M,3,30.017337,99952536.3832527,374961920,292940,725,0.24749095377893085,0.3437809194483746,9759.026925006705,12491511.821984742,15.235377091390797,15.094562386282744
1280,100M,4,30.008208,99959074.11723234,374865920,292864,486,0.1659473339160839,1.1019302654073642,9759.463144217076,12492112.824597856,12.176150936845909,15.675649484746334
1280,100M,5,30.039027,99966174.0827882,374918400,292906,870,0.2970236184987675,0.027641090774269215,9750.848454578772,12481043.410627116,11.806364043075716,15.083699886770715
1280,100M,6,30.033918,99953716.3647995,374991360,292963,479,0.16350187566347968,0.49230947388440927,9754.4050030369,12485595.785405021,8.995401961849577,13.681188226346986
1280,100M,7,30.009983,99962753.0731381,374924800,292910,804,0.2744870438018504,0.5668432085834453,9760.41872466239,12493335.96756786,11.648467101667022,16.714264221661264
