size_bytes,bandwidth_arg,run,seconds,bits_per_sec,bytes,packets,lost_packets,lost_percent,jitter_ms,pps,bytes_per_sec,cpu_percent_host_total,cpu_percent_remote_total
256,800M,4,30.004021,428213000.5496818,1605851904,6272860,92263,1.4708282984157146,0.0026889966824118184,209067.31134470276,53521223.17205417,52.333955227731956,84.0485581896118
256,800M,5,30.006101,424547228.4113182,1592308480,6219955,74380,1.1958285871843124,0.022449713772431337,207289.67752258116,53066157.44578078,52.9528346245622,82.63628271366674
256,800M,6,30.012007,407982881.7840869,1530190592,5977308,300682,5.03039160772709,0.004114735760565938,199163.88797323685,50985946.791229255,50.242970852585565,77.4153702130019
256,800M,7,30.014663,424936366.415724,1594051840,6226766,114141,1.833070328963703,0.001960728665568139,207457.4683713757,53109103.37390762,50.024533021433534,83.81537083345702
512,1000M,1,30.008095,802546304.5986507,3010261504,5879417,82998,1.411670578902636,0.03479804341091704,195927.69884259562,100314981.80740896,51.49297847684042,78.6752302889206
512,1000M,2,30.014853,814685014.5770575,3056349184,5969433,52451,0.8786596649966588,0.00566473636442254,198882.6332082986,101827891.14442773,51.42187490485056,78.6073446526266
512,1000M,3,30.001421,783062915.4938112,2936500224,5735352,154728,2.6977943114912564,0.014917196171912806,191169.34494536108,97878704.61202487,49.50942058417718,73.6430753393593
512,1000M,4,30.012621,808610065.9068627,3033398272,5924606,68654,1.158794356958083,0.007568838858130312,197403.81888006383,101070755.26659268,52.1957156480264,78.6668078515405
512,1000M,5,30.004702,814099094.7085375,3053170176,5963223,79026,1.3252229540971383,0.05478190012755418,198742.95035491436,101756390.58171615,50.71177575768067,79.20388315992466
512,1000M,6,30.015393,811077822.3201585,3042921984,5943207,66950,1.1264961829530757,0.00320964055267964,198005.30347878503,101378715.38113794,50.6447437292103,79.5419768081915
512,1000M,7,30.015207,809280054.8257006,3036034560,5929756,44156,0.744651213304561,0.006225505675002533,197558.39098494308,101149879.12627089,53.1905919340181,77.04407167440806
512,800M,1,30.012608,794814779.9936438,2981702144,5823637,49813,0.8553589449342396,0.00433205554696343,194039.68492175022,99348318.67993611,51.585750977208846,77.83044478171674
512,800M,2,30.00339,796946343.2405375,2988738560,5837380,56912,0.9749579434609362,0.005488925030600546,194557.34835296945,99613362.35672036,50.71150565968898,78.89753033265414
512,800M,3,30.005751,784515375.727144,2942345216,5746768,38899,0.6768848159522013,0.00412775628935493,191522.21852404228,98059375.88430965,51.23604375444945,76.54831200290796
512,800M,4,30.004234,797490045.7566295,2990895104,5841592,54141,0.92681926433753,0.005732126816342315,194692.25576630284,99682434.95234706,49.5603753154747,78.842032641988
512,800M,5,30.003962,777420943.301336,2915410944,5694163,86425,1.5177823325394795,0.007728289252561084,189780.3696725119,97167532.20791307,49.4755851023183,75.81985024937995
512,800M,6,30.005249,770702732.8888997,2890249216,5645018,42807,0.7583146767645382,0.005212854459501863,188134.349426662,96324786.90645094,49.593959036122584,75.71665115440148
512,800M,7,30.014005,789964812.443319,2963584000,5788250,63883,1.1036669114153674,0.0077165985467708,192851.63709408324,98740038.19217062,49.64868753739415,77.1002650615223
